citekey	type	authors	year	title	venue	volume_pages	doi	md_path	used_in
peffers2007design	article	Peffers, Ken and Tuunanen, Tuure and Rothenberger, Marcus A. and Chatterjee, Samir	2007	A Design Science Research Methodology for Information Systems Research	Journal of Management Information Systems	24(3), 45-77	10.2753/MIS0742-1222240302	references-extracted/doi-10.2753-MIS0742-1222240302/hybrid_txt/doi-10.2753-MIS0742-1222240302.md	Theoretical Framework; 3.1 DSRM
caruana1997multitask	article	Caruana, Rich	1997	Multitask Learning	Machine Learning	28(1), 41-75	10.1023/A:1007379606734	references-extracted/doi-10.1023-A-1007379606734/hybrid_txt/doi-10.1023-A-1007379606734.md	Theoretical Framework
yu2020gradient	inproceedings	Yu, Tianhe and Kumar, Saurabh and Gupta, Abhishek and Levine, Sergey and Hausman, Karol and Finn, Chelsea	2020	Gradient Surgery for Multi-Task Learning	Advances in Neural Information Processing Systems	33, 5824-5836	10.48550/arXiv.2001.06782	references-extracted/doi-10.48550-arXiv.2001.06782/hybrid_txt/doi-10.48550-arXiv.2001.06782.md	Theoretical Framework
vaswani2017attention	inproceedings	Vaswani, Ashish and Shazeer, Noam and Parmar, Niki and Uszkoreit, Jakob and Jones, Llion and Gomez, Aidan N. and Kaiser, Lukasz and Polosukhin, Illia	2017	Attention Is All You Need	Advances in Neural Information Processing Systems	30	10.48550/arXiv.1706.03762	references-extracted/doi-10.48550-arXiv.1706.03762/hybrid_txt/doi-10.48550-arXiv.1706.03762.md	Theoretical Framework
myersscotton1993duelling	book	Myers-Scotton, Carol	1993	Duelling Languages: Grammatical Structure in Codeswitching	Oxford University Press		10.1093/oso/9780198240594.001.0001		Theoretical Framework
muysken1995review	article	Muysken, P. C. and de Rooij, V.	1995	Review of C. Myers-Scotton, Social Motivations for Codeswitching and Duelling Languages	Linguistics	33(5), 1043-1051		references-extracted/hdl-2066-14724/hybrid_txt/hdl-2066-14724.md	Theoretical Framework
ruder2017overview	misc	Ruder, Sebastian	2017	An Overview of Multi-Task Learning in Deep Neural Networks	arXiv preprint		10.48550/arXiv.1706.05098	references-extracted/doi-10.48550-arXiv.1706.05098/hybrid_txt/doi-10.48550-arXiv.1706.05098.md	Theoretical Framework
gamback2016comparing	inproceedings	Gambäck, Björn and Das, Amitava	2016	Comparing the Level of Code-Switching in Corpora	International Conference on Language Resources and Evaluation			references-extracted/acl-L16-1292/hybrid_txt/acl-L16-1292.md	Theoretical Framework
gama2025uniform	misc	Gama, Gabriel S. and Grassi Jr., Valdir	2025	Uniform Loss vs. Specialized Optimization: A Comparative Analysis in Multi-Task Learning	arXiv preprint		10.48550/arXiv.2505.10347	references-extracted/doi-10.48550-arXiv.2505.10347/hybrid_txt/doi-10.48550-arXiv.2505.10347.md	Theoretical Framework
xin2022current	inproceedings	Xin, Derrick and Ghorbani, Behrooz and Gilmer, Justin and Garg, Ankush and Firat, Orhan	2022	Do Current Multi-Task Optimization Methods in Deep Learning Even Help?	Advances in Neural Information Processing Systems	35, 13597–13609	10.48550/arXiv.2209.11379		H3a/H3b Optimization Efficacy
kurin2022defense	inproceedings	Kurin, Vitaly and De Palma, Alessandro and Kostrikov, Ilya and Whiteson, Shimon and Kumar, M. Pawan	2022	In Defense of the Unitary Scalarization for Deep Multi-Task Learning	Advances in Neural Information Processing Systems	35	10.48550/arXiv.2201.04122		H3a/H3b Optimization Efficacy
