paper_id,citation,year,title,venue,venue_type,pillar,paper_type,algorithm_or_model,role_in_thesis,problem,proposed_solution,claim,dataset_testbed,abstract
arxiv-2506.06130,Borsani et al. (2025),2025,Gradient Similarity Surgery in Multi-Task Deep Learning,Proceedings of the European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2025),conference,Multi-Task Optimization,experimental,Similarity-Aware Momentum Gradient Surgery (SAM-GS),Advances gradient surgery through SAM-GS by utilizing gradient magnitude similarity to equalize conflicting gradients and regulate first-order momentum during joint optimization.,"In multi-task deep learning, task gradients can conflict in direction or magnitude, and simple averaging lets dominant gradients steer updates, which degrades convergence of the task losses.","The authors propose SAM-GS, a gradient surgery optimiser that measures task gradient magnitude similarity to trigger gradient equalisation on conflict and to modulate the first-order momentum otherwise.",SAM-GS outperforms previous multi-task optimisation methods on two synthetic problems and achieves the best mean ranking and improvement score on NYU-v2 while remaining competitive on other benchmarks.,"Two-task synthetic 2D optimisation problem with one global optimum, Novel two-task synthetic 2D optimisation problem with two global optima, CelebA (40 binary facial attribute classification tasks with a CNN), NYU-v2 (depth estimation, semantic segmentation, and surface normal prediction with MTAN), CityScapes (depth estimation and semantic segmentation with MTAN), MetaWorld MT10 multi-task reinforcement learning benchmark (10 robot manipulation tasks with Soft Actor-Critic)","The multi-task learning (MTL) paradigm aims to simultaneously learn multiple tasks within a single model capturing higher-level, more general hidden patterns that are shared by the tasks. In deep learning, a significant challenge in the backpropagation training process is the design of advanced optimisers to improve the convergence speed and stability of the gradient descent learning rule. In particular, in multi-task deep learning (MTDL) the multitude of tasks may generate potentially conflicting gradients that would hinder the concurrent convergence of the diverse loss functions. This challenge arises when the gradients of the task objectives have either different magnitudes or opposite directions, causing one or a few to dominate or to interfere with each other, thus degrading the training process. Gradient surgery methods address the problem explicitly dealing with conflicting gradients by adjusting the overall gradient trajectory. This work introduces a novel gradient surgery method, the Similarity-Aware Momentum Gradient Surgery (SAM-GS), which provides an effective and scalable approach based on a gradient magnitude similarity measure to guide the optimisation process. The SAM-GS surgery adopts gradient equalisation and modulation of the first-order momentum. A series of experimental tests have shown the effectiveness of SAM-GS on synthetic problems and MTL benchmarks. Gradient magnitude similarity plays a crucial role in regularising gradient aggregation in MTDL for the optimisation of the learning process. Code is available at https://unibzmlgroup.github.io/SAMGS/"
arxiv-2505.10347,Gama and Grassi Jr (2025),2025,Uniform Loss vs. Specialized Optimization: A Comparative Analysis in Multi-Task Learning,arXiv,preprint,Multi-Task Optimization,experimental,"Evaluation of 16 SMTOs, including Nash-MTL, CAGrad, IMTL, and FAMO, against uniform loss (Unitary Scalarization)",Provides a systematic evaluation showing that specialized optimizers surpass uniform weighting primarily on complex task configurations where severe gradient magnitude disparities occur.,Recent critiques question whether specialized multi-task optimizers outperform uniform loss because previous comparisons lacked standardized evaluation and sufficient hyperparameter tuning.,The authors evaluate sixteen specialized multi-task optimizers against tuned uniform loss baselines across multiple datasets with increasing multi-task balancing complexity.,"SMTOs clearly outperform uniform loss once multi-task problems become complex enough, although well-chosen fixed weights can still match them.","Multi-MNIST, Cityscapes, QM9, AMD Ryzen 9 5950X CPU with two NVIDIA RTX 3090 GPUs","Specialized Multi-Task Optimizers (SMTOs) balance task learning in Multi-Task Learning by addressing issues like conflicting gradients and differing gradient norms, which hinder equal-weighted task training. However, recent critiques suggest that equally weighted tasks can achieve competitive results compared to SMTOs, arguing that previous SMTO results were influenced by poor hyperparameter optimization and lack of regularization. In this work, we evaluate these claims through an extensive empirical evaluation of SMTOs, including some of the latest methods, on more complex multi-task problems to clarify this behavior. More specifically, we start our analysis by evaluating all SMTOs on a simple MNIST problem to identify the promising optimizers and assess them further on progressively more complex multi-task problems. Our findings indicate that SMTOs perform well compared to uniform loss and that fixed weights can achieve competitive performance compared to SMTOs. Furthermore, we demonstrate why uniform loss performs similarly to SMTOs in some instances. The source code is available at [https://github.com/Gabriel-SGama/UnitScal\_vs\_SMTOs](https://github.com/Gabriel-SGama/UnitScal_vs_SMTOs """")."
arxiv-2311.04698,Elich et al. (2024),2024,Examining Common Paradigms in Multi-Task Learning,46th German Conference for Pattern Recognition (GCPR 2024),conference,Multi-Task Optimization,experimental,Adam optimizer,Reveals that optimizer selection often dominates weighting methods and demonstrates that within-task sample gradient conflicts occur as frequently as cross-task conflicts.,Multi-task learning methods often fail to beat single-task baselines because researchers neglect optimizer choice and assume gradient conflicts are unique to multi-task learning.,"The authors evaluate optimizers across multi-task benchmarks, derive loss-scale invariance for Adam and uncertainty weighting, and compare inter-task gradient conflicts with inter-sample conflicts.","The optimizer choice often matters more than the multi-task method, and differences in gradient magnitude rather than gradient alignment distinguish multi-task learning from single-task learning.","Cityscapes, NYUv2, CelebA, SegNet, DeepLabV3+, ResNet-18, synthetic two-task toy regression problem, corrupted Cityscapes, corrupted NYUv2, Bosch GPU clusters","While multi-task learning (MTL) has gained significant attention in recent years, its underlying mechanisms remain poorly understood. Recent methods did not yield consistent performance improvements over single task learning (STL) baselines, underscoring the importance of gaining more profound insights about challenges specific to MTL. In our study, we investigate paradigms in MTL in the context of STL: First, the impact of the choice of optimizer has only been mildly investigated in MTL. We show the pivotal role of common STL tools such as the Adam optimizer in MTL empirically in various experiments. To further investigate Adam’s effectiveness, we theoretical derive a partial loss-scale invariance under mild assumptions. Second, the notion of gradient conflicts has often been phrased as a specific problem in MTL. We explore the role of gradient conflicts in MTL and compare it to STL. For angular gradient alignment we find no evidence that this is a unique problem in MTL. We emphasize differences in gradient magnitude as the main distinguishing factor. Overall, we find surprising similarities between STL and MTL suggesting to consider methods from both fields in a broader context."
jmlr-v24-22-0347,Lin and Zhang (2023),2023,LibMTL: A Python Library for Deep Multi-Task Learning,Journal of Machine Learning Research,journal,Multi-Task Optimization,tool-system,LibMTL (PyTorch multi-task learning library),Delivers the unified open-source PyTorch benchmarking library that implements multi-task architectures and optimization strategies to ensure standardized experimental comparison.,"State-of-the-art multi-task learning models are implemented in incompatible frameworks with inconsistent experimental details or lack public implementations, which makes it hard to extend them to real applications or to compare new MTL models against them fairly.","The authors develop LibMTL, an open-source Python library built on PyTorch that unifies different MTL settings and provides a modular, reproducible, and extensible framework supporting 13 optimization strategies and 8 MTL architectures.","LibMTL offers a more comprehensive and up-to-date unified framework than existing MTL libraries, covering more MTL settings and more state-of-the-art deep MTL methods, and enabling fair comparisons and rapid development of new MTL models.",NYUv2,"This paper presents `LibMTL` , an open-source `Python` library built on `PyTorch` , which provides a unified, comprehensive, reproducible, and extensible implementation framework for Multi-Task Learning (MTL). `LibMTL` considers different settings and approaches in MTL, and it supports a large number of state-of-the-art MTL methods, including 13 optimization strategies and 8 architectures. Moreover, the modular design in `LibMTL` makes it easy to use and well extensible, thus users can easily and fast develop new MTL methods, compare with existing MTL methods fairly, or apply MTL algorithms to real-world applications with the support of `LibMTL` . The source code and detailed documentations of `LibMTL` are available at `https://github.com/median-research-group/LibMTL` and `https://libmtl.readthedocs.io` , respectively."
arxiv-2306.03792,Liu et al. (2023),2023,FAMO: Fast Adaptive Multitask Optimization,Advances in Neural Information Processing Systems 36 (NeurIPS 2023),conference,Multi-Task Optimization,experimental,FAMO (Fast Adaptive Multitask Optimization),Contributes the benchmarked FAMO algorithm that equalizes task loss decrease rates with constant memory overhead and a single backward pass.,"Average loss optimization in multitask learning under-optimizes some tasks, and existing gradient manipulation methods require storing all task gradients with high computation cost.","The authors propose FAMO, an adaptive task weighting optimizer that balances loss decrease rates across tasks using loss history with constant time and memory overhead.",FAMO matches or outperforms existing gradient manipulation methods across supervised and reinforcement learning benchmarks while drastically reducing training time and memory requirements.,"NYU-v2, CityScapes, QM-9, CelebA, MetaWorld MT10, toy 2-task optimization problem","One of the grand enduring goals of AI is to create generalist agents that can learn multiple different tasks from diverse data via multitask learning (MTL). However, in practice, applying gradient descent (GD) on the average loss across all tasks may yield poor multitask performance due to severe under-optimization of certain tasks. Previous approaches that manipulate task gradients for a more balanced loss decrease require storing and computing all task gradients (𝒪⁡(k)\mathcal{O}(k) space and time where kk is the number of tasks), limiting their use in large-scale scenarios. In this work, we introduce Fast Adaptive Multitask Optimization (FAMO), a dynamic weighting method that decreases task losses in a balanced way using 𝒪⁡(1)\mathcal{O}(1) space and time. We conduct an extensive set of experiments covering multi-task supervised and reinforcement learning problems. Our results indicate that FAMO achieves comparable or superior performance to state-of-the-art gradient manipulation techniques while offering significant improvements in space and computational efficiency. Code is available at [https://github.com/Cranial-XIX/FAMO](https://github.com/Cranial-XIX/FAMO """")."
arxiv-2305.19000,Senushkin et al. (2023),2023,Independent Component Alignment for Multi-Task Learning,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR 2023),conference,Multi-Task Optimization,experimental,Aligned-MTL (with an Aligned-MTL-UB upper-bound approximation),Develops Aligned-MTL to resolve gradient conflicts by aligning orthogonal singular value components while guaranteeing convergence to user-specified task trade-off weights.,"Training a single model on multiple tasks is destabilized by conflicting and dominating task gradients when optimizing the averaged objective, and existing multi-task gradient methods converge to arbitrary Pareto-stationary points so that task trade-offs cannot be specified in advance.","The authors use the condition number of the gradient matrix as a stability criterion for multi-task optimization and propose Aligned-MTL, which aligns the principal components of the linear system of gradients via singular value decomposition so the condition number is minimized and the resulting cumulative gradient respects pre-defined task weights.","Aligned-MTL consistently outperforms prior multi-task optimization methods on scene understanding and multi-task reinforcement learning benchmarks while provably converging to an optimum with pre-defined task weights, giving more control over the optimization result.","synthetic two-task MTL benchmark, Cityscapes, NYUv2, MetaWorld MT10","In a multi-task learning (MTL) setting, a single model is trained to tackle a diverse set of tasks jointly. Despite rapid progress in the field, MTL remains challenging due to optimization issues such as conflicting and dominating gradients. In this work, we propose using a condition number of a linear system of gradients as a stability criterion of an MTL optimization. We theoretically demonstrate that a condition number reflects the aforementioned optimization issues. Accordingly, we present Aligned-MTL, a novel MTL optimization approach based on the proposed criterion, that eliminates instability in the training process by aligning the orthogonal components of the linear system of gradients. While many recent MTL approaches guarantee convergence to a minimum, task trade-offs cannot be specified in advance. In contrast, Aligned-MTL provably converges to an optimal point with pre-defined task-specific weights, which provides more control over the optimization result. Through experiments, we show that the proposed approach consistently improves performance on a diverse set of MTL benchmarks, including semantic and instance segmentation, depth estimation, surface normal estimation, and reinforcement learning. The source code is publicly available at [https://github.com/SamsungLabs/MTL](https://github.com/SamsungLabs/MTL """")."
arxiv-2201.04122,Kurin et al. (2022),2022,In Defense of the Unitary Scalarization for Deep Multi-Task Learning,Advances in Neural Information Processing Systems 35 (NeurIPS 2022),conference,Multi-Task Optimization,experimental,unitary scalarization coupled with standard regularization and stabilization techniques,Challenges specialized multi-task optimizers by demonstrating that unitary scalarization combined with standard single-task regularizers matches complex dynamic weighting schemes across standard benchmarks.,"Deep multi-task learning research increasingly argues that unitary scalarization, simply minimizing the sum of per-task losses, underperforms specialized multi-task optimizers, and the authors attribute this reported weakness to experimental variability and insufficient regularization rather than to inherent optimization difficulty.","The authors benchmark popular specialized multi-task optimizers against unitary scalarization in a unified experimental pipeline across supervised and reinforcement learning settings, coupling the simple baseline with standard single-task regularization and stabilization techniques, and provide an empirical and technical analysis suggesting that many specialized optimizers act as regularizers.","No specialized multi-task optimizer consistently outperforms unitary scalarization across popular supervised and reinforcement learning benchmarks once the simple baseline is combined with standard regularization and stabilization, and many specialized optimizers can be partly interpreted as forms of regularization.","Multi-MNIST, CelebA, Cityscapes, Meta-World (MT10 and MT50)","Recent multi-task learning research argues against *unitary scalarization*, where training simply minimizes the sum of the task losses. Several ad-hoc multi-task optimization algorithms have instead been proposed, inspired by various hypotheses about what makes multi-task settings difficult. The majority of these optimizers require per-task gradients, and introduce significant memory, runtime, and implementation overhead. We show that unitary scalarization, coupled with standard regularization and stabilization techniques from single-task learning, matches or improves upon the performance of complex multi-task optimizers in popular supervised and reinforcement learning settings. We then present an analysis suggesting that many specialized multi-task optimizers can be partly interpreted as forms of regularization, potentially explaining our surprising results. We believe our results call for a critical reevaluation of recent research in the area."
arxiv-2202.01017,Navon et al. (2022),2022,Multi-Task Learning as a Bargaining Game,International Conference on Machine Learning (ICML),conference,Multi-Task Optimization,experimental,Nash-MTL,Introduces the benchmarked Nash-MTL algorithm that frames multi-task gradient aggregation as a cooperative bargaining game to determine a Pareto optimal update direction.,"In multi-task learning, per-task gradients can conflict in direction or differ in magnitude, causing a jointly trained model to perform worse than dedicated single-task models.",The authors model gradient aggregation as a cooperative bargaining game and use the proportionally fair Nash bargaining solution as the parameter update direction.,Nash-MTL achieves state-of-the-art performance across multiple multi-task benchmarks while providing theoretical convergence guarantees to Pareto stationary or Pareto optimal points.,"QM9, NYUv2, CityScapes, MT10 (Meta-World)","In Multi-task learning (MTL), a joint model is trained to simultaneously make predictions for several tasks. Joint training reduces computation costs and improves data efficiency; however, since the gradients of these different tasks may conflict, training a joint model for MTL often yields lower performance than its corresponding single-task counterparts. A common method for alleviating this issue is to combine per-task gradients into a joint update direction using a particular heuristic. In this paper, we propose viewing the gradients combination step as a bargaining game, where tasks negotiate to reach an agreement on a joint direction of parameter update. Under certain assumptions, the bargaining problem has a unique solution, known as the *Nash Bargaining Solution*, which we propose to use as a principled approach to multi-task learning. We describe a new MTL optimization procedure, Nash-MTL, and derive theoretical guarantees for its convergence. Empirically, we show that Nash-MTL achieves state-of-the-art results on multiple MTL benchmarks in various domains."
arxiv-2209.11379,Xin et al. (2022),2022,Do Current Multi-Task Optimization Methods in Deep Learning Even Help?,Advances in Neural Information Processing Systems 35 (NeurIPS 2022),conference,Multi-Task Optimization,experimental,scalarization with static task weights (implemented as proportional sampling),Conducts an empirical audit demonstrating that well-tuned static scalarization matches specialized multi-task optimizers on translation and vision tasks while avoiding severe gradient computation overheads.,"Specialized multi-task optimization (MTO) algorithms are widely claimed to beat simply optimizing a weighted average of task losses, but their reported gains may be artifacts of under-tuned baselines and unreliable evaluation practices rather than genuinely better optimization.","The authors run a large-scale empirical study comparing popular MTO algorithms against the Pareto frontier traced by sweeping static task-weight scalarization on multilingual machine translation and vision benchmarks, and they analyze how hyperparameter sensitivity and evaluation choices distort reported comparisons.","Across language and vision tasks, no tested MTO algorithm improves on a well-tuned scalarization sweep, whose solutions form a superset of MTO solutions, and apparent MTO gains largely stem from under-tuned baselines and evaluation pitfalls.","Multilingual machine translation data for English→French, English→Chinese, English→German, and English→Romanian translation, CityScapes, CelebA, Multi-MNIST, Google Cloud Platform v3 TPUs, Nvidia A100 GPUs","Recent research has proposed a series of specialized optimization algorithms for deep multi-task models. It is often claimed that these multi-task optimization (MTO) methods yield solutions that are superior to the ones found by simply optimizing a weighted average of the task losses. In this paper, we perform large-scale experiments on a variety of language and vision tasks to examine the empirical validity of these claims. We show that, despite the added design and computational complexity of these algorithms, MTO methods do not yield any performance improvements beyond what is achievable via traditional optimization approaches. We highlight alternative strategies that consistently yield improvements to the performance profile and point out common training pitfalls that might cause suboptimal results. Finally, we outline challenges in reliably evaluating the performance of MTO algorithms and discuss potential solutions."
arxiv-2110.14048,Liu et al. (2021),2021,Conflict-Averse Gradient Descent for Multi-task Learning,Advances in Neural Information Processing Systems 34 (NeurIPS 2021),conference,Multi-Task Optimization,experimental,Conflict-Averse Gradient Descent (CAGrad),Establishes the benchmarked CAGrad algorithm that optimizes the worst-case local task improvement within a constrained trust region around the average gradient vector.,"Directly minimizing the average loss in multi-task learning is undermined by conflicting task gradients, and prior gradient-manipulation heuristics lack convergence guarantees to a minimum of the average loss.","The authors propose CAGrad, which at each step searches within a neighborhood of the averaged gradient for an update vector that maximizes the worst-case local improvement across task losses, provably converging to a stationary point of the average loss.","CAGrad improves over prior state-of-the-art gradient manipulation methods on multi-task supervised, semi-supervised, and reinforcement learning benchmarks while provably converging to an optimum of the average loss.","Toy two-task optimization example, Multi-Fashion+MNIST with a shrinked LeNet, NYU-v2 with MTAN (SegNet backbone), CityScapes with MTAN (SegNet backbone), Meta-World MT10 with Soft Actor-Critic, Meta-World MT50 with Soft Actor-Critic, CIFAR10 semi-supervised learning with ARML (WRN-28-2 backbone)","The goal of multi-task learning is to enable more efficient learning than single task learning by sharing model structures for a diverse set of tasks. A standard multi-task learning objective is to minimize the average loss across all tasks. While straightforward, using this objective often results in much worse final performance for each task than learning them independently. A major challenge in optimizing a multi-task model is the *conflicting gradients*, where gradients of different task objectives are not well aligned so that following the average gradient direction can be detrimental to specific tasks’ performance. Previous work has proposed several heuristics to manipulate the task gradients for mitigating this problem. But most of them lack convergence guarantee and/or could converge to any Pareto-stationary point. In this paper, we introduce Conflict-Averse Gradient descent (CAGrad) which minimizes the average loss function, while leveraging the worst local improvement of individual tasks to regularize the algorithm trajectory. CAGrad balances the objectives automatically and still provably converges to a minimum over the average loss. It includes the regular gradient descent (GD) and the multiple gradient descent algorithm (MGDA) in the multi-objective optimization (MOO) literature as special cases. On a series of challenging multi-task supervised learning and reinforcement learning tasks, CAGrad achieves improved performance over prior state-of-the-art multi-objective gradient manipulation methods. Code is available at [https://github.com/Cranial-XIX/CAGrad](https://github.com/Cranial-XIX/CAGrad """")."
