paper_id,citation,year,title,venue,venue_type,paper_type,themes,algorithm_or_model,problem,proposed_solution,claim,dataset_testbed,abstract
doi-10.1007-s41060-025-00892-y,Abdelsamie et al. (2026),2026,"Deep multi-task learning: a review of concepts, methods, and cross-domain applications",International Journal of Data Science and Analytics,journal,survey,"multi-task learning, deep learning, parameter sharing, cross-domain applications",N/A,"Existing reviews of multi-task learning are fragmented along individual domains and are not current with deep MTL developments, leaving the field without a unified cross-domain account of its concepts, methods, and applications.","The authors present a comprehensive survey that explains MTL fundamentals, compares hard and soft parameter sharing, categorizes MTL architectures, analyzes the factors behind MTL success, and classifies application studies across a wide range of fields.","The review concludes that multi-task learning is a rapidly growing and versatile paradigm that improves generalization and data efficiency across diverse domains, while its success depends on task selection, parameter-sharing architecture, and loss balancing, and it still faces challenges such as negative transfer and computational cost.","Scopus bibliographic database records of multi-task learning publications (8,245 retrieved, 6,872 unique records retained, 2020 to mid-2025)","Multi-task learning (MTL) is a machine learning method that has witnessed exponential traction due to its ability to solve multiple tasks simultaneously. Joining training-related tasks in MTL improves both predictive performance and data efficiency. The shared knowledge across tasks enables MTL models to outperform traditional single-task models. The effectiveness of MTL depends on several factors, including how tasks are chosen, how relationships between them are structured, and the choice of shared and task-specific model components. In literature, several architectures and strategies for multi-task learning have been successfully applied across different fields such as natural language processing, computer vision, healthcare, and others. However, MTL has some challenges, such as task interference, data availability, optimal task selection, and hyperparameter tuning. Recent research has introduced new techniques to address these issues, such as adaptive task balancing and parameter sharing mechanisms, although each approach has its limitations. In this review, we provide a comprehensive examination of the multi-task learning concept, and the strategies used in several different domains. It also explores the key factors influencing the success of MTL and provides a detailed classification of research efforts applying MTL in a wide range of fields, highlighting existing achievements and challenges."
arxiv-2509.07252,Limarenko et al. (2026),2026,GCond: Gradient Conflict Resolution via Accumulation-Based Stabilization for Large-Scale Multi-Task Learning,IEEE Access,journal,experimental,"multi-task learning, gradient conflict resolution, self-supervised learning, medical imaging",GCond (Gradient Conductor),"In multi-task learning, gradient conflicts degrade performance, while existing resolution methods fail to scale because they require excessive memory and compute on noisy single mini-batches.","The authors propose Gradient Conductor, which accumulates gradients across micro-batches to reduce variance before applying an adaptive multi-zone arbitration mechanism to resolve conflicts.","GCond resolves gradient conflicts efficiently across medical CT and ImageNet benchmarks, achieving a two-fold stochastic speedup and scaling to large models where prior methods fail.","Combined head and neck CT dataset from RSNA Intracranial Hemorrhage Detection, RSNA Cervical Spine Fracture Detection, and RADCURE (2,199,444 DICOM files), ImageNet-1k (ILSVRC 2012, benjamin-paine/imagenet-1k-256x256 version), NVIDIA RTX 4080 GPU (16 GB VRAM), NVIDIA RTX 5090 GPU (32 GB VRAM), NVIDIA H200 GPU (140 GB VRAM)","In multi-task learning (MTL), gradient conflict poses a significant challenge. Effective methods for addressing this problem, including PCGrad, CAGrad, and GradNorm, in their original implementations are computationally demanding, which significantly limits their application in modern large models such as transformers. We propose Gradient Conductor (GCond), a method that builds upon PCGrad principles by combining them with gradient accumulation and an adaptive arbitration mechanism. We evaluated GCond on self-supervised multi-task learning tasks using MobileNetV3-Small and ConvNeXt architectures on the ImageNet 1K dataset and a combined head and neck CT scan dataset, comparing the proposed method against baseline linear combinations and state-of-the-art gradient conflict resolution methods. The classical and stochastic approaches of GCond were analyzed. The stochastic mode of GCond achieved a two-fold computational speedup while maintaining optimization quality, and demonstrated superior performance across all evaluated metrics, achieving lower L1 and SSIM losses compared to other methods on both datasets, and demonstrating superior generalization in heterogeneous scenarios: GCond improved ImageNet Top-1 Accuracy by 4.5% over baselines and prevented confidence overfitting in medical diagnosis tasks. GCond exhibited high scalability, being successfully applied to both compact models: MobileNetV3-Small and ConvNeXt-tiny; and large architecture ConvNeXtV2-Base. It also showed compatibility with modern optimizers such as AdamW and Lion/LARS. Therefore, GCond offers a scalable and efficient solution to the problem of gradient conflicts in multi-task learning."
arxiv-2507.07485,Jeong and Yoon (2025),2025,Resolving Token-Space Gradient Conflicts: Token Space Manipulation for Transformer-Based Multi-Task Learning,Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV 2025),conference,experimental,"multi-task learning, vision transformers, negative transfer, gradient conflict",Dynamic Token Modulation and Expansion (DTME-MTL),"Conflicting objectives among tasks cause negative transfer in multi-task learning, while the fixed capacity and rigid structure of pre-trained transformers limit model adaptability.","The authors propose DTME-MTL, which decomposes token space using singular value decomposition and mitigates negative transfer through affine token modulation and task-specific token expansion.",DTME-MTL consistently improves multi-task performance across multiple vision benchmarks with minimal computational overhead and parameter growth by resolving gradient conflicts in token space.,"NYUD-v2, PASCAL-Context, Taskonomy, NVIDIA RTX A6000 GPU","Multi-Task Learning (MTL) enables multiple tasks to be learned within a shared network, but differences in objectives across tasks can cause negative transfer, where the learning of one task degrades another task’s performance. While pre-trained transformers significantly improve MTL performance, their fixed network capacity and rigid structure limit adaptability. Previous dynamic network architectures attempt to address this but are inefficient as they directly convert shared parameters into task-specific ones. We propose Dynamic Token Modulation and Expansion (DTME-MTL), a framework applicable to any transformer-based MTL architecture. DTME-MTL enhances adaptability and reduces overfitting by identifying gradient conflicts in token space and applying adaptive solutions based on conflict type. Unlike prior methods that mitigate negative transfer by duplicating network parameters, DTME-MTL operates entirely in token space, enabling efficient adaptation without excessive parameter growth. Extensive experiments demonstrate that DTME-MTL consistently improves multi-task performance with minimal computational overhead, offering a scalable and effective solution for enhancing transformer-based MTL models."
arxiv-2308.12029,Lin et al. (2025),2025,Dual-Balancing for Multi-Task Learning,Neural Networks,journal,experimental,"multi-task learning, loss balancing, gradient balancing",DB-MTL (Dual-Balancing Multi-Task Learning),"In multi-task learning, tasks differ in loss and gradient scales, so tasks with large values can dominate model updates and leave other tasks with poor performance.","The authors propose DB-MTL, which applies a logarithm transformation to each task loss for loss-scale balancing and normalizes every task gradient to the maximum gradient norm for gradient-magnitude balancing.",Balancing both loss scales and gradient magnitudes lets DB-MTL consistently outperform the state of the art across benchmark datasets.,"NYUv2, Cityscapes, QM9, Office-31, Office-Home, NVIDIA GeForce RTX 3090 GPU","Multi-task learning aims to learn multiple related tasks simultaneously and has achieved great success in various fields. However, the disparity in loss and gradient scales among tasks often leads to performance compromises, and the balancing of tasks remains a significant challenge. In this paper, we propose Dual-Balancing Multi-Task Learning (DB-MTL) to achieve task balancing from both the loss and gradient perspectives. Specifically, DB-MTL achieves loss-scale balancing by performing logarithm transformation on each task loss, and rescales gradient magnitudes by normalizing all task gradients to comparable magnitudes using the maximum gradient norm. Extensive experiments on a number of benchmark datasets demonstrate that DB-MTL consistently performs better than the current state-of-the-art."
acl-2025.magmar-1.8,Liu and Yu (2025),2025,MT2ST: Adaptive Multi-Task to Single-Task Learning,Proceedings of the 1st Workshop on Multimodal Augmented Generation via Multimodal Retrieval (MAGMaR 2025),workshop,experimental,"multi-task learning, training efficiency, representation learning, multimodal learning",MT2ST with Diminish and Switch transition strategies,"Multi-task training helps generalization but causes gradient conflicts, task interference, and extra computation, while single-task training lacks representation reuse, so efficient training is hard to achieve.","They propose MT2ST, a framework that starts with multi-task learning and then transitions to single-task optimization through decaying auxiliary weights or a scheduled hard switch.","Across text, vision, and multimodal models, MT2ST improves or keeps task accuracy while cutting training time and computation by a large margin.","MNLI (GLUE), SST-2 and QQP (GLUE), VQA v2.0, Visual7W Telling, Flickr30k Entities, CIFAR-100, TinyImageNet, MS-COCO, 4x NVIDIA A100 GPUs","We propose MT2ST, a general and efficient framework for accelerating multi-task training by progressively transitioning to single-task optimization. Unlike conventional multi-task learning (MTL) or singletask fine-tuning (STL), MT2ST dynamically adjusts the training focus via two complementary strategies: Diminish, which gradually down-weights auxiliary losses, and Switch, which explicitly switches to the primary task at a scheduled point. We demonstrate the effectiveness of MT2ST across three key paradigms: representation learning, transformers, and diffusion models, covering both unimodal (text/image) and multimodal (vision-language) tasks. Extensive experiments show that MT2ST significantly improves training efficiency—achieving up to 56% FLOPs compression—while maintaining or surpassing task performance. These results suggest MT2ST as a general-purpose solution for scalable and adaptive multi-task training. Although this work is general-purpose, it is especially suitable for multimodal settings such as VQA or vision-language retrieval, where auxiliary pretraining (e.g., masked language modeling or contrastive learning) often diverges from final objectives. We include a VQA case study and outline its efficiency for multimodal retrieval in §4."
arxiv-2505.18995,Maminta et al. (2025),2025,FiLLM - A Filipino-optimized Large Language Model based on Southeast Asia Large Language Model (SEALLM),arXiv,preprint,experimental,"low-resource language NLP, large language models, parameter-efficient fine-tuning, Filipino language processing","FiLLM, a LoRA fine-tuned SeaLLM-7B 2.5 model",Large language models for the Filipino language remain underdeveloped because labeled Filipino datasets and computational resources are scarce.,"The authors build FiLLM by applying LoRA fine-tuning to the SeaLLM-7B 2.5 model on Filipino datasets, then compare it with CalamanCy on several NLP tasks.","FiLLM performs well on Named Entity Recognition and Part-of-Speech tagging, but CalamanCy significantly outperforms it overall, especially on Dependency Parsing.","Filipino Hatespeech Dataset (10,000 tweets), Filipino Dengue Dataset (4,000 tweets), TLUnified-NER Dataset, Merged UD Dataset (Ugnayan and TRG treebanks), Asian Language Treebank, NewsPHNLI Dataset","This study presents FiLLM, a Filipino-optimized large language model, designed to enhance natural language processing (NLP) capabilities in the Filipino language. Built upon the SeaLLM-7B 2.5 model, FiLLM leverages Low-Rank Adaptation (LoRA) finetuning to optimize memory efficiency while maintaining taskspecific performance. The model was trained and evaluated on diverse Filipino datasets to address key NLP tasks, including Named Entity Recognition (NER), Part-of-Speech (POS) tagging, Dependency Parsing, and Text Summarization. Performance comparisons with the CalamanCy model were conducted using F1 Score, Precision, Recall, Compression Rate, and Keyword Overlap metrics. Results indicate that Calamancy outperforms FILLM in several aspects, demonstrating its effectiveness in processing Filipino text with improved linguistic comprehension and adaptability. This research contributes to the advancement of Filipino NLP applications by providing an optimized, efficient, and scalable language model tailored for local linguistic needs."
arxiv-2508.03523,Miranda et al. (2025),2025,FilBench: Can LLMs Understand and Generate Filipino?,EMNLP 2025 main,conference,dataset-benchmark,"large language models, benchmark evaluation, low-resource languages, machine translation",FilBench,Existing LLM benchmarks either exclude Filipino and other Philippine languages or lack the task and language diversity needed to measure how well models handle them.,"The authors curate FilBench, a benchmark with four task categories and twelve subtasks built from expert-annotated Filipino, Tagalog, and Cebuano datasets, and use it to evaluate 27 state-of-the-art LLMs.","FilBench is difficult even for leading models, since GPT-4o tops it at only 72.23 percent, the best Southeast Asian-focused model reaches 61.07 percent, and generation tasks are the weakest area across models.","FilBench, Dengue Filipino, BalitaNLP, SIB-200, CebuaNER, TLUnified-NER, Universal NER, FiReCS, INCLUDE, Global MMLU, KALAHI, StingrayBench, Cebuano Readability Corpus, Belebele, NewsPH NLI, NTREX-128, Tatoeba, TICO-19","Despite the impressive performance of LLMs on English-based tasks, little is known about their capabilities in specific languages such as Filipino. In this work, we address this gap by introducing FilBench, a Filipino-centric benchmark designed to evaluate LLMs across a diverse set of tasks and capabilities in Filipino, Tagalog, and Cebuano. We carefully curate the tasks in FilBench to reflect the priorities and trends of NLP research in the Philippines such as Cultural Knowledge, Classical NLP, Reading Comprehension, and Generation. By evaluating 27 state-of-the-art LLMs on FilBench, we find that several LLMs suffer from reading comprehension and translation capabilities. Our results indicate that FilBench is challenging, with the best model, GPT-4o, achieving only a score of 72.23%. Moreover, we also find that models trained specifically for Southeast Asian languages tend to underperform on FilBench, with the highest-performing model, SEA-LION v3 70B, achieving only a score of 61.07%. Our work demonstrates the value of curating language-specific LLM benchmarks to aid in driving progress on Filipino NLP and increasing the inclusion of Philippine languages in LLM development."
arxiv-2412.01566,Peitz and Hotegni (2025),2025,Multi-objective Deep Learning: Taxonomy and Survey of the State of the Art,Machine Learning with Applications,journal,survey,"multi-objective optimization, deep learning, multi-task learning, multi-objective reinforcement learning",N/A,"Training deep neural networks under several conflicting objectives is attractive but very expensive, and the fast growth of publications makes the field difficult to navigate.","The authors organize existing work in a taxonomy based on the type of training algorithm and the decision maker's needs, and survey methods across all learning paradigms plus applications.",The authors argue that considering multiple conflicting criteria will become the standard in deep learning and that gradient-based methods such as MGDA have emerged as the dominant approach.,N/A,"Simultaneously considering multiple objectives in machine learning has been a popular approach for several decades, with various benefits for multi-task learning, the consideration of secondary goals such as sparsity, or multicriteria hyperparameter tuning. However—as multi-objective optimization is significantly more costly than single-objective optimization—the recent focus on deep learning architectures poses considerable additional challenges due to the very large number of parameters, strong nonlinearities and stochasticity. This survey covers recent advancements in the area of multi-objective deep learning. We introduce a taxonomy of existing methods—based on the type of training algorithm as well as the decision maker's needs—before listing recent advancements, and also successful applications. All three main learning paradigms supervised learning, unsupervised learning and reinforcement learning are covered, and we also address the recently very popular area of generative modeling."
doi-10.1109-iccv51701.2025.00235,Phan et al. (2025),2025,Beyond Losses Reweighting: Empowering Multi-Task Learning via the Generalization Perspective,Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV),conference,experimental,"multi-task learning, sharpness-aware minimization, loss landscape flatness, gradient conflict","Flat-based (F-) variants of gradient-based MTL methods, such as F-MGDA, F-PCGrad, F-CAGrad, F-IMTL, F-NashMTL, and F-FairGrad","Existing gradient manipulation methods for multi-task learning minimize only empirical losses and ignore loss landscape geometry, so shared models overfit and task gradients conflict with each other.",The paper proposes a sharpness-aware framework that penalizes each task sharpness through weight perturbation and aggregates separate loss and flatness gradients on top of existing gradient manipulation methods.,"Adding sharpness-aware flat minima seeking to gradient-based multi-task learning methods improves task performance, robustness, and calibration across image classification and scene understanding benchmarks.","Multi-MNIST (MultiFashion, MultiMNIST, MultiFashion+MNIST), CelebA, NYUv2, CityScapes","Multi-task learning (MTL) trains deep neural networks to optimize several objectives simultaneously using a shared backbone, which leads to reduced computational costs, improved data efficiency, and enhanced performance through cross-task knowledge sharing. Although recent gradient manipulation techniques aim to find a common descent direction that benefits all tasks, conventional empirical loss minimization still leaves models vulnerable to overfitting and gradient conflicts. To address this, we introduce a novel MTL framework that leverages weight perturbation to regulate gradient norms, thus improving generalization. By carefully modulating weight perturbations, our approach harmonizes task-specific gradients, reducing conflicts and encouraging more robust learning across tasks. Theoretical insights reveal that controlling the gradient norm through weight perturbation directly contributes to better generalization. Extensive experiments across diverse applications demonstrate that our method significantly outperforms existing gradientbased MTL techniques in terms of task performance and overall model robustness."
arxiv-2510.18258,Qin et al. (2025),2025,NTKMTL: Mitigating Task Imbalance in Multi-Task Learning from Neural Tangent Kernel Perspective,arXiv,preprint,experimental,"multi-task learning, task imbalance, neural tangent kernel, loss weighting",NTKMTL (and its efficient variant NTKMTL-SR),"Task imbalance in multi-task learning, where some tasks dominate training while others are under-optimized, persists because accurately characterizing the training dynamics and convergence speeds of multiple tasks within a complex MTL system is very difficult, and prior loss-scale-based approximations fail to capture true convergence behavior.","The authors extend Neural Tangent Kernel theory to MTL by introducing an extended NTK matrix whose spectral analysis reveals task-level convergence speeds, and propose NTKMTL, which normalizes the maximum eigenvalues of per-task NTK matrices to set task weights, plus an efficient shared-representation approximation NTKMTL-SR.","By using NTK spectral analysis to balance per-task convergence speeds, NTKMTL and NTKMTL-SR achieve state-of-the-art or competitive performance across supervised benchmarks with 2 to 40 tasks and multi-task reinforcement learning, with NTKMTL obtaining the best performance drop on NYUv2, CityScapes, and CelebA.","NYUv2, CityScapes, QM9, CelebA, Meta-World MT10","Multi-Task Learning (MTL) enables a single model to learn multiple tasks simultaneously, leveraging knowledge transfer among tasks for enhanced generalization, and has been widely applied across various domains. However, task imbalance remains a major challenge in MTL. Although balancing the convergence speeds of different tasks is an effective approach to address this issue, it is highly challenging to accurately characterize the training dynamics and convergence speeds of multiple tasks within the complex MTL system. To this end, we attempt to analyze the training dynamics in MTL by leveraging Neural Tangent Kernel (NTK) theory and propose a new MTL method, NTKMTL. Specifically, we introduce an extended NTK matrix for MTL and adopt spectral analysis to balance the convergence speeds of multiple tasks, thereby mitigating task imbalance. Based on the approximation via shared representation, we further propose NTKMTL-SR, achieving training efficiency while maintaining competitive performance. Extensive experiments demonstrate that our methods achieve state-of-the-art performance across a wide range of benchmarks, including both multi-task supervised learning and multi-task reinforcement learning. Source code is available at [https://github.com/jianke0604/NTKMTL](https://github.com/jianke0604/NTKMTL """")."
